id_bod|id_schuze|id_tisk|id_typ|bod|uplny_naz|uplny_kon|poznamka|id_bod_stav|pozvanka|rj|pozn2|druh_bodu|id_sd|zkratka
7223|50|531|1|4|Vládní návrh, kterım se pøedkládá Parlamentu Èeské republiky k vyslovení souhlasu Smlouva mezi Èeskou republikou a Venezuelskou republikou o zamezení dvojího zdanìní a zabránìní daòovému úniku v oboru daní z pøíjmu a z majetku, podepsaná v Praze dne 26. dubna 1996|/snìmovní tisk 2/||1|1||||||
7223|50|531|1|11|Vládní návrh, kterım se pøedkládá Parlamentu Èeské republiky k vyslovení souhlasu Smlouva mezi Èeskou republikou a Venezuelskou republikou o zamezení dvojího zdanìní a zabránìní daòovému úniku v oboru daní z pøíjmu a z majetku, podepsaná v Praze dne 26. dubna 1996|/snìmovní tisk 2/||1|||||||
7224|50|||1|ádost vlády Èeské republiky o vyslovení dùvìry|Není sn.tisk||1|||||||
7224|50|||1|ádost vlády Èeské republiky o vyslovení dùvìry|Není sn.tisk||1|1||||||
7225|50|||3|Ústní interpelace poslancù na vládu nebo její èleny|Není sn.tisk||1|||||||
7225|50|||15|Ústní interpelace poslancù na vládu nebo její èleny|Není sn.tisk||1|1||||||
8297|50|||16|Návrh volební komise Poslanecké snìmovny na volbu èlenù stálıch delegací do meziparlamentních organizací - druhé kolo volby|Není sn.tisk||0|||||||
7226|51|541|1|2|Vládní návrh zákona o pùsobnosti Úøadu pro ochranu konkurence|/snìmovní tisk 13/||1|1||||||
7226|51|541|1|3|Vládní návrh zákona o pùsobnosti Úøadu pro ochranu konkurence|/snìmovní tisk 13/||1|||||||
7227|51|542|1|3|Vládní návrh zákona o pùsobnosti Úøadu pro státní informaèní systém|/snìmovní tisk 14/||1|1||||||
7227|51|542|1|4|Vládní návrh zákona o pùsobnosti Úøadu pro státní informaèní systém|/snìmovní tisk 14/||1|||||||
7228|51|540|1|1|Vládní návrh zákona, kterım se provádìjí nìkterá opatøení v soustavì ústøedních orgánù státní správy Èeské republiky a kterım se mìní a doplòuje zákon Èeské národní rady è. 2/1969 Sb., o zøízení ministerstev a jinıch ústøedních orgánù státní správy Èeské socialistické republiky, ve znìní pozdìjších pøedpisù, a mìní a doplòuje zákon è. 97/1993 Sb., o pùsobnosti Správy státních hmotnıch rezerv|/snìmovní tisk 12/||1|1||||||
7228|51|540|1|2|Vládní návrh zákona, kterım se provádìjí nìkterá opatøení v soustavì ústøedních orgánù státní správy Èeské republiky a kterım se mìní a doplòuje zákon Èeské národní rady è. 2/1969 Sb., o zøízení ministerstev a jinıch ústøedních orgánù státní správy Èeské socialistické republiky, ve znìní pozdìjších pøedpisù, a mìní a doplòuje zákon è. 97/1993 Sb., o pùsobnosti Správy státních hmotnıch rezerv|/snìmovní tisk 12/||1|||||||
8298|51|||1|Návrh usnesení Poslanecké snìmovny k hospodaøení se státním majetkem|Není sn.tisk||0|||||||
7229|52|||13|Informace rozpoètového vıboru ke zprávì o plnìní státního rozpoètu Èeské republiky za 1. ètvrtletí 1996|Není sn.tisk||1|1||||||
7229|52|||14|Informace rozpoètového vıboru ke zprávì o plnìní státního rozpoètu Èeské republiky za 1. ètvrtletí 1996|Není sn.tisk||1|||||||
7230|52|||2|Návrh na zøízení Vyšetøovací komise Poslanecké snìmovny pro zjištìní podmínek privatizace a ekonomického fungování POLDI Kladno|Není sn.tisk||1|||||||
7230|52|||2|Návrh na zøízení Vyšetøovací komise Poslanecké snìmovny pro zjištìní podmínek privatizace a ekonomického fungování POLDI Kladno|Není sn.tisk||1|1||||||
7231|52|||1|Návrh na zøízení Vyšetøovací komise Poslanecké snìmovny pro šetøení okolností krachu Kreditní banky a.s. Plzeò|Není sn.tisk||1|||||||
7231|52|||1|Návrh na zøízení Vyšetøovací komise Poslanecké snìmovny pro šetøení okolností krachu Kreditní banky a.s. Plzeò|Není sn.tisk||1|1||||||
7232|52|544|1|18|Návrh poslance Dalibora Matulky na vydání zákona, kterım se mìní a doplòuje zákon è. 424/1991 Sb., o sdruování v politickıch stranách a v politickıch hnutích, ve znìní zákona è. 117/1994 Sb.|/snìmovní tisk 16/||1|1||||||
7232|52|544|1|20|Návrh poslance Dalibora Matulky na vydání zákona, kterım se mìní a doplòuje zákon è. 424/1991 Sb., o sdruování v politickıch stranách a v politickıch hnutích, ve znìní zákona è. 117/1994 Sb.|/snìmovní tisk 16/||1|||||||
7233|52|543|1|17|Návrh poslancù Dalibora Matulky a dalších na vydání ústavního zákona, kterım se mìní a doplòuje ústavní zákon Èeské národní rady è. 1/1993 Sb., Ústava Èeské republiky|/snìmovní tisk 15/||1|1||||||
7233|52|543|1|19|Návrh poslancù Dalibora Matulky a dalších na vydání ústavního zákona, kterım se mìní a doplòuje ústavní zákon Èeské národní rady è. 1/1993 Sb., Ústava Èeské republiky|/snìmovní tisk 15/||1|||||||
7234|52|539|1|16|Návrh poslancù Miroslava Sládka a dalších na vydání zákona, kterım se mìní a doplòuje zákon è. 236/1995 Sb., o platu a dalších náleitostech spojenıch s vıkonem funkce pøedstavitelù státní moci a nìkterıch státních orgánù a soudcù|/snìmovní tisk 10/||1|1||||||
7234|52|539|1|18|Návrh poslancù Miroslava Sládka a dalších na vydání zákona, kterım se mìní a doplòuje zákon è. 236/1995 Sb., o platu a dalších náleitostech spojenıch s vıkonem funkce pøedstavitelù státní moci a nìkterıch státních orgánù a soudcù|/snìmovní tisk 10/||1|||||||
7235|52|532|1|15|Návrh poslancù Miroslava Sládka a dalších na vydání ústavního zákona, kterım se mìní a doplòuje ústavní zákon Èeské národní rady è. 1/1993 Sb., Ústava Èeské republiky|/snìmovní tisk 3/||1|1||||||
